0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
1,1
2,1
2,2
3,2
3,2
4,3
4,3
5,4
5,4
5,5
5,5
5,6
6,6
6,7
7,7
7,7
8,7
8,8
9,8
9,9
9,9
10,9
10,10
10,10
10,10
11,10
11,11
11,11
12,11
12,12
12,12
13,13
13,13
13,14
13,14
14,14
14,14
15,15
15,15
16,15
16,16
17,16
17,16
18,17
18,17
19,18
20,18
21,19
21,19
22,20
22,20
23,21
23,21
24,22
24,22
25,23
25,23
25,24
26,24
26,25
26,25
26,26
26,26
26,26
26,26
26,26
26,26
26,26
26,26
26,26
26,26
26,26
26,26
26,26
26,26
26,26
27,26
27,27
28,27
29,28
30,28
31,29
32,29
33,30
34,30
34,31
35,32
35,33
36,33
36,34
36,34
36,35
36,35
36,36
36,36
36,36
36,36
35,36
35,36
35,36
35,36
35,36
35,36
35,36
35,36
35,36
36,36
36,36
37,36
38,37
39,37
40,38
40,38
41,39
41,39
42,40
42,40
42,41
42,41
42,41
42,41
42,41
41,41
41,41
41,41
41,41
41,41
41,41
41,41
41,41
42,41
43,41
44,42
45,42
46,43
46,44
47,44
47,45
47,46
47,46
47,47
47,47
47,47
47,47
46,47
46,47
45,46
45,46
45,46
45,46
45,46
45,46
46,46
46,46
47,47
48,47
49,48
49,49
50,50
50,50
50,51
50,51
50,51
50,51
49,51
49,50
49,50
48,49
48,49
48,49
49,49
49,49
50,49
51,49
52,50
53,51
54,52
54,52
54,53
54,53
54,53
54,54
54,54
53,54
53,54
52,53
52,53
52,52
52,52
52,52
53,52
54,52
55,52
56,53
57,54
57,55
57,56
57,56
57,56
57,56
56,56
56,56
55,56
55,55
54,55
54,54
54,54
55,54
56,54
57,54
58,54
59,55
59,56
60,57
60,58
60,59
59,59
59,59
58,59
57,59
56,59
56,58
55,58
55,57
55,57
56,57
57,57
58,57
59,58
60,58
60,59
60,60
60,61
60,61
59,61
59,61
58,60
58,60
57,59
57,59
57,58
58,58
59,58
60,58
61,59
62,59
62,60
62,60
62,61
62,62
62,62
61,62
61,62
60,61
60,61
60,60
60,60
60,59
61,59
62,59
63,60
64,61
64,62
65,63
65,63
64,64
64,64
63,64
62,64
61,63
61,63
61,62
61,62
62,62
62,62
63,62
64,62
65,63
65,64
65,65
65,65
65,66
64,66
64,66
63,65
62,64
62,64
62,63
63,63
64,63
65,63
66,63
67,64
67,65
68,66
67,66
67,67
66,67
66,67
65,67
64,66
64,65
63,64
64,64
64,63
65,63
66,63
67,64
68,65
68,66
68,66
67,67
67,67
66,67
65,67
65,66
64,65
64,65
64,64
65,64
66,64
67,64
68,65
68,66
69,67
