I0,I1
41.00,40.00
41.00,40.00
41.00,40.00
41.00,40.00
42.00,41.00
42.00,41.00
42.00,41.00
43.00,41.00
43.00,41.00
43.00,41.00
44.00,42.00
44.00,42.00
45.00,43.00
45.00,44.00
45.00,44.00
45.00,44.00
45.00,44.00
45.00,44.00
45.00,44.00
45.00,44.00
45.00,45.00
45.00,44.00
45.00,44.00
45.00,45.00
46.00,45.00
46.00,45.00
46.00,45.00
46.00,45.00
47.00,46.00
47.00,46.00
47.00,47.00
47.00,47.00
48.00,48.00
48.00,48.00
48.00,49.00
48.00,49.00
48.00,49.00
48.00,49.00
48.00,49.00
48.00,49.00
48.00,49.00
48.00,49.00
48.00,48.00
48.00,49.00
48.00,49.00
48.00,49.00
48.00,49.00
49.00,49.00
49.00,50.00
50.00,50.00
50.00,51.00
51.00,51.00
51.00,51.00
52.00,51.00
52.00,52.00
52.00,52.00
52.00,52.00
52.00,52.00
52.00,52.00
52.00,52.00
51.00,52.00
51.00,52.00
51.00,52.00
51.00,52.00
51.00,52.00
51.00,52.00
51.00,52.00
51.00,52.00
52.00,52.00
52.00,53.00
53.00,53.00
54.00,54.00
54.00,54.00
54.00,54.00
54.00,54.00
54.00,54.00
54.00,55.00
54.00,54.00
54.00,54.00
54.00,54.00
54.00,54.00
55.00,55.00
55.00,55.00
55.00,55.00
55.00,55.00
55.00,55.00
55.00,55.00
55.00,55.00
56.00,56.00
57.00,56.00
57.00,57.00
57.00,57.00
56.00,57.00
56.00,56.00
56.00,57.00
56.00,57.00
56.00,57.00
55.00,56.00
55.00,56.00
55.00,56.00
55.00,57.00
56.00,57.00
56.00,57.00
56.00,57.00
56.00,57.00
57.00,58.00
57.00,58.00
59.00,59.00
58.00,59.00
58.00,59.00
58.00,58.00
58.00,59.00
58.00,58.00
58.00,58.00
58.00,57.00
58.00,58.00
58.00,58.00
58.00,59.00
59.00,59.00
59.00,59.00
60.00,59.00
59.00,59.00
60.00,59.00
60.00,59.00
61.00,60.00
60.00,60.00
60.00,60.00
60.00,59.00
60.00,60.00
60.00,59.00
60.00,59.00
59.00,59.00
59.00,59.00
59.00,59.00
59.00,59.00
60.00,59.00
60.00,60.00
60.00,60.00
61.00,60.00
61.00,60.00
62.00,61.00
62.00,62.00
62.00,62.00
62.00,61.00
62.00,62.00
62.00,61.00
62.00,61.00
62.00,61.00
62.00,61.00
62.00,61.00
62.00,61.00
62.00,61.00
62.00,62.00
62.00,62.00
63.00,62.00
63.00,62.00
64.00,63.00
64.00,64.00
64.00,64.00
64.00,63.00
64.00,63.00
64.00,62.00
63.00,62.00
63.00,62.00
63.00,62.00
63.00,62.00
63.00,62.00
63.00,62.00
63.00,62.00
63.00,62.00
64.00,63.00
65.00,63.00
64.00,64.00
64.00,64.00
64.00,64.00
64.00,64.00
64.00,64.00
64.00,64.00
63.00,63.00
63.00,63.00
63.00,63.00
63.00,63.00
64.00,63.00
64.00,63.00
65.00,64.00
65.00,64.00
66.00,65.00
66.00,65.00
66.00,66.00
66.00,66.00
66.00,66.00
66.00,66.00
66.00,66.00
65.00,65.00
66.00,65.00
65.00,65.00
65.00,65.00
65.00,65.00
65.00,65.00
65.00,65.00
66.00,65.00
67.00,66.00
67.00,66.00
67.00,67.00
66.00,66.00
66.00,66.00
66.00,66.00
66.00,66.00
65.00,65.00
65.00,65.00
65.00,65.00
65.00,65.00
65.00,65.00
65.00,65.00
65.00,65.00
66.00,66.00
66.00,66.00
67.00,67.00
67.00,67.00
67.00,67.00
67.00,67.00
67.00,67.00
67.00,66.00
66.00,66.00
66.00,66.00
66.00,66.00
66.00,66.00
67.00,66.00
67.00,66.00
67.00,66.00
67.00,66.00
68.00,67.00
69.00,67.00
69.00,68.00
69.00,68.00
69.00,68.00
68.00,68.00
68.00,67.00
68.00,68.00
68.00,67.00
67.00,67.00
67.00,67.00
67.00,67.00
68.00,67.00
68.00,68.00
68.00,68.00
69.00,68.00
69.00,69.00
69.00,69.00
68.00,69.00
68.00,69.00
68.00,69.00
68.00,69.00
68.00,68.00
68.00,68.00
68.00,68.00
68.00,68.00
68.00,68.00
69.00,68.00
69.00,68.00
70.00,68.00
69.00,69.00
70.00,70.00
70.00,69.00
70.00,69.00
70.00,69.00
69.00,68.00
68.00,67.00
69.00,68.00
69.00,68.00
69.00,68.00
69.00,68.00
69.00,68.00
69.00,68.00
69.00,68.00
70.00,68.00
70.00,70.00
70.00,69.00
70.00,69.00
69.00,69.00
69.00,69.00
68.00,68.00
69.00,68.00
69.00,69.00
69.00,69.00
69.00,69.00
69.00,69.00
69.00,69.00
70.00,70.00
71.00,70.00
70.00,70.00
70.00,71.00
70.00,70.00
70.00,70.00
70.00,70.00
69.00,70.00
70.00,69.00
70.00,69.00
70.00,69.00
70.00,70.00
70.00,70.00
70.00,70.00
70.00,70.00
71.00,70.00
70.00,70.00
70.00,71.00
70.00,72.00
70.00,71.00
70.00,72.00
69.00,72.00
70.00,71.00
69.00,70.00
69.00,71.00
69.00,71.00
69.00,71.00
70.00,71.00
70.00,71.00
71.00,72.00
71.00,72.00
71.00,72.00
71.00,72.00
71.00,71.00
71.00,72.00
71.00,72.00
70.00,72.00
70.00,70.00
70.00,71.00
70.00,70.00
71.00,71.00
71.00,71.00
72.00,71.00
72.00,71.00
72.00,71.00
72.00,72.00
72.00,72.00
72.00,71.00
71.00,71.00
71.00,70.00
70.00,71.00
71.00,71.00
71.00,71.00
71.00,71.00
71.00,71.00
72.00,71.00
72.00,71.00
73.00,71.00
73.00,71.00
73.00,72.00
73.00,72.00
73.00,71.00
72.00,72.00
72.00,71.00
72.00,71.00
72.00,71.00
72.00,71.00
72.00,71.00
72.00,71.00
72.00,71.00
72.00,71.00
73.00,71.00
72.00,71.00
72.00,71.00
72.00,72.00
72.00,71.00
72.00,72.00
71.00,72.00
71.00,70.00
71.00,71.00
71.00,70.00
71.00,71.00
71.00,71.00
72.00,71.00
72.00,71.00
73.00,72.00
72.00,72.00
72.00,73.00
72.00,73.00
72.00,73.00
71.00,72.00
71.00,72.00
71.00,72.00
71.00,72.00
71.00,72.00
71.00,72.00
71.00,72.00
72.00,73.00
73.00,73.00
72.00,73.00
72.00,73.00
72.00,73.00
72.00,72.00
72.00,72.00
72.00,72.00
71.00,71.00
72.00,72.00
71.00,72.00
72.00,73.00
72.00,72.00
72.00,72.00
72.00,72.00
72.00,72.00
73.00,72.00
72.00,73.00
72.00,74.00
72.00,73.00
72.00,73.00
72.00,72.00
71.00,72.00
72.00,72.00
72.00,72.00
72.00,72.00
72.00,72.00
72.00,72.00
73.00,73.00
74.00,73.00
73.00,73.00
73.00,73.00
73.00,73.00
73.00,73.00
73.00,72.00
72.00,72.00
72.00,72.00
72.00,72.00
72.00,72.00
72.00,72.00
73.00,72.00
73.00,72.00
73.00,72.00
74.00,72.00
73.00,72.00
73.00,73.00
73.00,73.00
73.00,73.00
72.00,72.00
72.00,72.00
72.00,72.00
72.00,72.00
72.00,72.00
72.00,72.00
72.00,72.00
72.00,72.00
72.00,72.00
73.00,72.00
73.00,73.00
73.00,74.00
73.00,73.00
73.00,74.00
73.00,73.00
73.00,73.00
73.00,73.00
73.00,73.00
73.00,73.00
73.00,73.00
73.00,73.00
74.00,73.00
74.00,73.00
74.00,73.00
74.00,74.00
74.00,74.00
74.00,74.00
74.00,74.00
73.00,73.00
73.00,73.00
73.00,73.00
73.00,73.00
73.00,73.00
73.00,73.00
73.00,73.00
74.00,73.00
75.00,73.00
74.00,74.00
74.00,75.00
74.00,74.00
74.00,74.00
73.00,73.00
73.00,73.00
73.00,73.00
73.00,73.00
73.00,73.00
74.00,73.00
74.00,73.00
74.00,74.00
74.00,74.00
74.00,74.00
74.00,74.00
74.00,74.00
74.00,74.00
74.00,73.00
73.00,72.00
74.00,73.00
73.00,72.00
73.00,72.00
73.00,72.00
73.00,73.00
74.00,73.00
75.00,74.00
75.00,74.00
75.00,74.00
75.00,74.00
75.00,74.00
75.00,74.00
74.00,73.00
74.00,73.00
74.00,73.00
74.00,73.00
74.00,73.00
74.00,73.00
74.00,73.00
75.00,74.00
75.00,74.00
75.00,74.00
75.00,74.00
75.00,75.00
75.00,74.00
75.00,74.00
74.00,73.00
74.00,72.00
74.00,73.00
74.00,73.00
74.00,73.00
74.00,74.00
75.00,74.00
75.00,74.00
75.00,74.00
74.00,74.00
74.00,75.00
74.00,75.00
74.00,75.00
73.00,74.00
73.00,74.00
73.00,73.00
73.00,73.00
73.00,73.00
74.00,73.00
74.00,73.00
74.00,74.00
75.00,73.00
74.00,75.00
74.00,75.00
74.00,75.00
74.00,75.00
74.00,75.00
73.00,74.00
73.00,74.00
73.00,74.00
73.00,74.00
74.00,74.00
74.00,74.00
74.00,74.00
75.00,74.00
75.00,75.00
74.00,75.00
74.00,75.00
74.00,75.00
74.00,75.00
73.00,74.00
73.00,74.00
73.00,74.00
73.00,74.00
73.00,74.00
73.00,74.00
73.00,75.00
74.00,75.00
75.00,75.00
74.00,75.00
74.00,76.00
73.00,76.00
73.00,75.00
73.00,76.00
73.00,76.00
73.00,75.00
73.00,75.00
73.00,75.00
73.00,75.00
73.00,75.00
74.00,75.00
74.00,75.00
75.00,75.00
75.00,76.00
74.00,75.00
74.00,75.00
74.00,75.00
73.00,75.00
74.00,74.00
73.00,74.00
73.00,74.00
73.00,74.00
73.00,74.00
73.00,74.00
74.00,74.00
75.00,75.00
75.00,75.00
75.00,75.00
74.00,75.00
74.00,74.00
74.00,75.00
74.00,75.00
74.00,74.00
74.00,75.00
74.00,75.00
74.00,75.00
75.00,75.00
75.00,75.00
76.00,75.00
75.00,75.00
75.00,75.00
75.00,76.00
75.00,75.00
75.00,75.00
74.00,74.00
74.00,75.00
74.00,74.00
74.00,74.00
74.00,74.00
74.00,74.00
74.00,74.00
74.00,74.00
75.00,74.00
74.00,75.00
75.00,75.00
75.00,75.00
74.00,75.00
74.00,75.00
73.00,74.00
74.00,74.00
74.00,74.00
74.00,74.00
74.00,74.00
75.00,74.00
75.00,75.00
76.00,75.00
76.00,75.00
76.00,75.00
76.00,75.00
75.00,75.00
75.00,74.00
75.00,74.00
75.00,74.00
